,ID,ROOM NAME,LOCALITY,REGION,OLD PRICE,ratings
50,140,MedRooms  079 Delhi International Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Delhi,3249.0,5
51,281,MedRooms  677 Kamla Nagar,Kamla Nagar,Delhi,2099.0,5
52,219,MedRooms Homes 328 Chhatarpur,"Maidan Garhi Road,Chattarpur",Delhi,1599.0,5
53,217,MedRooms Premium 582 Pitampura,"Near Kohat Enclave Metro Station, Opposite Metro Pillar No. 332",Delhi,5099.0,5
54,138,MedRooms  437 North Campus,"Opposite Parmarth Hospital, Above Allahabad Bank",Delhi,2549.0,5
55,139,MedRooms  541 Dwarka Sector 13 Metro Station,"Sector 13, Dwarka",Delhi,3849.0,5
56,137,MedRooms  031 Near IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi,3749.0,5
57,130,MedRooms Premium 208 GK 1 M Block Market,Greater Kailash,Delhi,6849.0,5
58,244,MedRooms  130 Nizamuddin Railway Station 2,Hazrat Nizamuddin West,Delhi,2999.0,5
59,102,MedRooms  230 Near RK Ashram Metro Paharganj,Paharganj,Delhi,1599.0,5
60,242,MedRooms Premium 386 Rajguru Road Paharganj,CHUNA MANDI,Delhi,2349.0,5
61,284,MedRooms  125 Pitampura I,Pitampura,Delhi,3199.0,5
62,274,MedRooms  337 Arya Nagar Paharganj,D.B. Gupta Road,Delhi,1549.0,4
63,300,MedRooms  552 GK2 M Block Market Extension,Greater Kailash-2,Delhi,1999.0,4
64,251,MedRooms  444 Near Karol Bagh Metro Station 5,Karol Bagh,Delhi,1549.0,4
65,144,MedRooms  051 New Friends Colony Market,New Friends Colony,Delhi,2949.0,4
66,272,MedRooms  358 Near Jasola Sports Complex,Jasola,Delhi,1649.0,4
67,294,MedRooms Premium 068 Karol Bagh,Near By Karol Bagh Police Station / HDFC bank,Delhi,2049.0,4
68,45,MedRooms  185 GK 1 Near M Block Market,Greater Kailash Part 1,Delhi,3549.0,4
69,280,MedRooms  104 Paharganj Railway Station,Pahar Ganj,Delhi,1349.0,4
70,293,MedRooms Homes 441 Janakpuri West Metro Station,Opposite Savitri Market,Delhi,2099.0,4
71,306,MedRooms Homes 369 South Extension 1,South Extension 1,Delhi,2299.0,4
72,193,MedRooms  522 Karol Bagh 17A-13 Gurudwara Road,Karol Bagh,Delhi,1599.0,4
73,152,MedRooms  184 Aerodrome Near IGI Airport,"Mahipalpur, NH-8, Near IGI Airport",Delhi,3399.0,4
74,95,MedRooms  683 Near T3 Airport Delhi,Kapashera,Delhi,2299.0,4
75,94,MedRooms  043 Nehru Place Extension,Jasola,Delhi,1499.0,4
76,252,MedRooms  605 Near Shiela Cinema Paharganj,"1B, Arakashan Road",Delhi,1499.0,4
77,308,MedRooms  548 New Delhi Junction,"Arakashan Road, Paharganj",Delhi,1599.0,4
78,97,MedRooms  609 Paharganj Near NDLS,"Ram Nagar, Street No.1",Delhi,1599.0,4
79,181,MedRooms Apartments 273 Dwarka Sector 12,Dwarka,Delhi,2199.0,4
80,267,MedRooms  138 Vasant Kunj 1,Masoodpur Vasant Kunj,Delhi,2399.0,4
81,256,MedRooms Homes 291 Dwarka Sector 19,Dwarka,Delhi,1999.0,4
82,303,MedRooms Premium 458 GT Karnal Road,Alipur,Delhi,3599.0,4
83,88,MedRooms  065 Janakpuri Near Dabri Mod,"Pankha Road,Dabri Mor",Delhi,2899.0,4
84,301,MedRooms  381 Kailash Colony Metro 2,East of Kailash,Delhi,2549.0,4
85,64,MedRooms Premium 220 East Of Kailash Extension,East of Kailash,Delhi,3799.0,4
86,157,MedRooms  535 Chattarpur,Chandan Hola,Delhi,4049.0,4
87,291,MedRooms Premium 603 Red Fort,"Opposite Happy School, Daryaganj",Delhi,2399.0,4
88,61,MedRooms Premium 529 Jasola Vihar,"Pocket-2, Jasola",Delhi,2699.0,4
89,146,MedRooms Premium 311 Ring Road GK1 2,Greater Kailash 1,Delhi,4749.0,4
90,163,MedRooms Premium 407 South Delhi Grand Stay,Aruna Asaf Ali Marg,Delhi,4199.0,4
91,326,MedRooms Premium 346 Connaught Place 2,Connaught Place,Delhi,2599.0,4
92,247,MedRooms  604 DB Gupta Main Road 1,"DB Gupta Road, Pahar Ganj Bridge",Delhi,1349.0,4
93,246,MedRooms  298 38 Arakashan Road Pahar Ganj,Arakshan Road,Delhi,749.0,4
94,150,MedRooms  566 Saket J Block,"Opposite J Block Market, Saket",Delhi,3499.0,4
95,203,MedRooms  301 Vasant Kunj Near DPS,Opposite DPS School Gate No. 1,Delhi,2599.0,4
96,215,MedRooms  455 Near Karol Bagh Metro Station 2,Karol Bagh,Delhi,1699.0,4
97,241,MedRooms  097 Gaffar Market Karol Bagh,"Karol Bagh, New Delhi",Delhi,1449.0,4
98,240,MedRooms  094 Karol Bagh 53/1,Karol Bagh,Delhi,2049.0,4
99,209,MedRooms  580 Karol Bagh 17A/59,"WEA, Karol Bag, Near RBL Bank",Delhi,1349.0,4
100,225,MedRooms Premium 140 Connaught Place,Barakhamba,Delhi,6149.0,4
101,30,MedRooms Apartments 273 Dwarka Sector 12,Dwarka,Delhi,2199.0,4
102,113,MedRooms  699 North Campus,"Phase 2, Ashok Vihar",Delhi,2349.0,4
103,231,MedRooms Premium 564 Nehru Place Ring Road,Nehru Place,Delhi,4399.0,4
104,103,MedRooms  626 DB Gupta NDLS,"Near Gate No 1, Opposite Sheila Cinema",Delhi,1849.0,4
105,268,MedRooms  433 Jangpura,"Masjid Road, Jangpura Bhogal",Delhi,1749.0,4
106,316,MedRooms  179 Kashmere Gate,Kashmere Gate,Delhi,1949.0,4
107,120,MedRooms Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Delhi,3349.0,4
108,16,MedRooms  142 Connaught Place 1,Connaught Circus,Delhi,4649.0,4
109,99,MedRooms  173 Paharganj Qutub Road,Ram Nagar,Delhi,1449.0,4
110,55,MedRooms  126 East of Kailash,Near Nehru Place,Delhi,3599.0,4
111,234,MedRooms  093 Kalkaji Mandir Delhi,Kalkaji,Delhi,1899.0,4
112,112,MedRooms  606 New Friends Colony 1,New Friends Colony,Delhi,3849.0,3
113,0,MedRooms Premium 529 Jasola Vihar,"Pocket-2, Jasola",Delhi,2649.0,3
114,180,MedRooms Premium 232 Jasola Near DLF Tower,Jasola,Delhi,4949.0,3
115,118,MedRooms  697 Karol Bagh,"Desh Bandhu Gupta Road, Beadonpura, Karol Bagh",Delhi,2049.0,3
116,114,MedRooms Premium 538 Hauz Khas Metro,"S Block, Panchsheel Park",Delhi,3349.0,3
117,104,MedRooms  451 Gali No 3 Ram Nagar Paharganj,"Saran Building, Gali No. 3",Delhi,1599.0,3
118,109,MedRooms Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Delhi,1799.0,3
119,108,MedRooms Flagship 512 Safdarjung Enclave,"B Block, Safdurjung Enclave",Delhi,3449.0,3
120,105,MedRooms Flagship 497 Green Park,"B Block, Safdarjung Enclave",Delhi,5049.0,3
121,92,MedRooms  277 Near Jhandewalan Metro,Karol Bagh,Delhi,2099.0,3
122,304,MedRooms  597 Hari Mandir Gali Paharganj,Gali Hari Mandir,Delhi,1199.0,3
123,182,MedRooms Premium 187 Hari Nagar,Hari Nagar,Delhi,3399.0,3
124,197,MedRooms Premium 165 Rajouri Garden Metro Station,Rajouri Garden,Delhi,3799.0,3
125,238,MedRooms  119 New Delhi Railway Station,Paharganj,Delhi,1349.0,3
126,243,MedRooms  492 Ramphal Chowk Dwarka,Sector-7,Delhi,1899.0,3
127,250,MedRooms  663 Elahi Bux Road Karol Bagh,Karol Bagh,Delhi,1299.0,3
128,253,MedRooms  379 New Delhi Station Gate 1,"Opposite New Delhi Railway Station, Paharganj",Delhi,1099.0,3
129,271,MedRooms  348 Near Mahipalpur Bypass,"Road No 6, Mahipalpur, Mahipalpur, International Airport Zone",Delhi,1949.0,3
130,276,MedRooms Premium 240 Paharganj Near NDLS,Pahar Ganj,Delhi,2449.0,3
131,277,MedRooms  045 Connaught Place G Block,Connaught Place,Delhi,4449.0,3
132,286,MedRooms  316 Kalkaji M Block,"M Block, Kalkaji",Delhi,2599.0,3
133,202,MedRooms  085 Hauz Khas District Park,Safdarjung Enclave,Delhi,2999.0,3
